Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.245	9.27e-01	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg07295964	GSM816644	1.00e+00
-0.906	8.82e-01	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg07295964,cg12136608	Lookup	1.00e+00
-1.341	9.36e-01	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg07295964	Lookup	1.00e+00
-0.680	8.23e-01	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg07295964,cg12136608	Lookup	1.00e+00
-0.900	8.71e-01	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg07295964,cg12136608	Lookup	1.00e+00
-0.284	6.97e-01	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg07295964,cg12136608	GSM816664	1.00e+00
-1.151	9.02e-01	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg07295964	GSM736607	1.00e+00
-0.138	6.43e-01	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg07295964,cg12136608	"GSM736558,GSM736635"	1.00e+00
-2.123	1.00e+00	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		GSM736525	1.00e+00
-0.137	6.43e-01	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg07295964,cg12136608	"GSM736512,GSM736561"	1.00e+00
-1.654	9.72e-01	GM12878	Blood	DHS	GM12878-all.twopass.merge150.wgt10.zgt2.wig	cg07295964	"GSM816665,GSM736496,GSM736620"	1.00e+00
-0.873	8.75e-01	GM12891	Blood	DHS	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg07295964,cg12136608	GSM816656	1.00e+00
-0.105	6.75e-01	GM12892	Blood	DHS	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg03049340,cg07295964,cg12136608	GSM816657	1.00e+00
-0.268	6.96e-01	GM18507	Blood	DHS	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg07295964,cg12136608	GSM816653	1.00e+00
-0.707	8.36e-01	GM19238	Blood	DHS	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg02161503,cg07295964	GSM816658	1.00e+00
-0.665	8.18e-01	GM19239	Blood	DHS	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg07295964,cg12136608	GSM816659	1.00e+00
0.303	5.30e-01	GM19240	Blood	DHS	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg02161503,cg07295964,cg12136608	GSM816648	1.00e+00
-0.305	7.05e-01	HL-60	Blood	DHS	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	cg07295964,cg10375300	"GSM736626,GSM736595"	1.00e+00
-0.054	5.95e-01	Jurkat	Blood	DHS	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	cg07295964,cg12136608	"GSM736501,GSM736492"	1.00e+00
-1.645	9.74e-01	K562	Blood	DHS	K562-all.twopass.merge150.wgt10.zgt2.wig	cg07295964	"GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566"	1.00e+00
-1.257	9.22e-01	NB4	Blood	DHS	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	cg07295964	"GSM736604,GSM736529"	1.00e+00
